Timestamp,High,Low,Open,volumefrom,volumeto,Close,conversionType,conversionSymbol,Date
1580601600,9469.84,9169.21,9384.45,24059.37,225322638.4,9334.25,direct,,2/2/2020
1580688000,9605.66,9230.83,9334.25,33363.87,312315107.5,9288.96,direct,,2/3/2020
1580774400,9347.12,9089.52,9288.96,26614.92,244997962,9171.98,direct,,2/4/2020
1580860800,9750.28,9162.98,9171.98,47150.99,448381299.9,9611.42,direct,,2/5/2020
1580947200,9853.08,9533.37,9611.42,42264.62,410313693.9,9755.84,direct,,2/6/2020
1581033600,9866.18,9714.16,9755.84,25549.21,249852208.3,9808.36,direct,,2/7/2020
1581120000,9936.26,9665.26,9808.36,24889.03,244352034.5,9898.25,direct,,2/8/2020
1581206400,10162.71,9880.67,9898.25,33829.57,340301629.7,10157.78,direct,,2/9/2020
1581292800,10185.09,9761.16,10157.78,40941.28,406256357.8,9858.03,direct,,2/10/2020
1581379200,10370.44,9716.32,9858.03,49240.73,495614708,10269.43,direct,,2/11/2020
1581465600,10475.43,10250.55,10269.43,43484.9,449510878.9,10347.93,direct,,2/12/2020
1581552000,10500.54,10081.02,10347.93,49389.81,507955952,10233.32,direct,,2/13/2020
1581638400,10387.37,10103.67,10233.32,28984.69,297409586.9,10360.37,direct,,2/14/2020
1581724800,10388.6,9789.89,10360.37,29878.88,300819428.5,9905.43,direct,,2/15/2020
1581811200,10042.6,9634.4,9905.43,27579.54,272176494.5,9925.51,direct,,2/16/2020
1581897600,9958.46,9482.71,9925.51,37157.31,359702988.1,9702.48,direct,,2/17/2020
1581984000,10274.35,9618.77,9702.48,38551.14,382869718.9,10182.6,direct,,2/18/2020
1582070400,10300.04,9340.17,10182.6,47506.68,473100344.4,9602.43,direct,,2/19/2020
1582156800,9698.59,9402.81,9602.43,36843.12,352949373.6,9608.8,direct,,2/20/2020
1582243200,9766.16,9582.07,9608.8,30286.18,293546157.5,9697.86,direct,,2/21/2020
1582329600,9720.21,9577.84,9697.86,12206.36,118171544.8,9671.46,direct,,2/22/2020
1582416000,10011.4,9669.88,9671.46,23058.71,228093371.6,9977.39,direct,,2/23/2020
1582502400,10019.3,9495.76,9977.39,34044.18,331102536.2,9664.21,direct,,2/24/2020
1582588800,9682.05,9258.4,9664.21,34827.75,329372824.7,9316.18,direct,,2/25/2020
1582675200,9379.07,8652.97,9316.18,65447.95,588359496.5,8793.5,direct,,2/26/2020
1582761600,8978.84,8540.74,8793.5,47005.39,413657559.4,8821.5,direct,,2/27/2020
1582848000,8908.8,8449.12,8821.5,41600.5,360795192.4,8719.29,direct,,2/28/2020
1582934400,8815.63,8545.32,8719.29,16806.37,146455562.4,8545.45,direct,,2/29/2020
1583020800,8776.71,8443.57,8545.45,25550.31,219324311.1,8549.38,direct,,3/1/2020
1583107200,8983.78,8521.79,8549.38,33004.6,290280969.4,8919.74,direct,,3/2/2020
1583193600,8940.69,8680.57,8919.74,28648.83,252211805.9,8765.68,direct,,3/3/2020
1583280000,8863.91,8690.82,8765.68,22115.34,194233894.1,8773.78,direct,,3/4/2020
1583366400,9179.74,8772.83,8773.78,33760.74,305196274.3,9074.82,direct,,3/5/2020
1583452800,9183.26,9015.35,9074.82,21090.1,192168163.6,9160.39,direct,,3/6/2020
1583539200,9225.42,8880.33,9160.39,20669.17,187063951.8,8903.72,direct,,3/7/2020
1583625600,8920.28,8033.06,8903.72,63231.33,533371350.3,8057.67,direct,,3/8/2020
1583712000,8200.82,7664.34,8057.67,86700.45,682781069.2,7944.4,direct,,3/9/2020
1583798400,8165.09,7758.12,7944.4,53646.28,427332546.5,7894.66,direct,,3/10/2020
1583884800,7998.79,7614.48,7894.66,47596.23,372704355.3,7945.36,direct,,3/11/2020
1583971200,7984.16,4736.21,7945.36,286243.45,1769476929,4916.78,direct,,3/12/2020
1584057600,5984.55,3948.92,4916.78,319316.54,1663092006,5632.58,direct,,3/13/2020
1584144000,5665.57,5069.29,5632.58,87978.27,474539626.5,5181.77,direct,,3/14/2020
1584230400,5961.78,5114.06,5181.77,105160.64,568696762.6,5357.02,direct,,3/15/2020
1584316800,5364.93,4454.22,5357.02,203116.86,996661883.3,5045,direct,,3/16/2020
1584403200,5561.43,4950.9,5045,116314.49,618671971.8,5337.66,direct,,3/17/2020
1584489600,5451.02,5024.71,5337.66,109210.96,576456805.6,5413.06,direct,,3/18/2020
1584576000,6418.99,5268.33,5413.06,147007.71,868668216.7,6184.88,direct,,3/19/2020
1584662400,6932.04,5691.69,6184.88,148232.44,947038097.6,6206.44,direct,,3/20/2020
1584748800,6459.65,5876.79,6206.44,67262.29,415771088.7,6195.43,direct,,3/21/2020
1584835200,6415.14,5750.68,6195.43,75451.24,457211402,5828.15,direct,,3/22/2020
1584921600,6614.56,5703.64,5828.15,107692.99,667919370.2,6503.53,direct,,3/23/2020
1585008000,6857.49,6406.64,6503.53,105151.69,700444488.2,6767.18,direct,,3/24/2020
1585094400,6980.29,6483,6767.18,84721.04,566264216.1,6694.21,direct,,3/25/2020
1585180800,6796.12,6539.61,6694.21,45203.7,302121295.1,6757.95,direct,,3/26/2020
1585267200,6876.97,6312.53,6757.95,57134.12,381303011.5,6382.8,direct,,3/27/2020
1585353600,6384.56,6051.23,6382.8,60814.06,378476571,6252.49,direct,,3/28/2020
1585440000,6286.96,5882.2,6252.49,47232.21,286789900.2,5882.2,direct,,3/29/2020
1585526400,6616.94,5874.8,5882.2,70623.69,445848282.1,6403.31,direct,,3/30/2020
1585612800,6531.66,6350.61,6403.31,36169.65,233613490.2,6423.61,direct,,3/31/2020
1585699200,6716.04,6168,6423.61,59228.61,377164250.7,6663.63,direct,,4/1/2020
1585785600,7245.15,6585.75,6663.63,93059.32,635319847.5,6804.42,direct,,4/2/2020
1585872000,7044.01,6618.82,6804.42,55578.32,379639119.5,6743.68,direct,,4/3/2020
1585958400,7010.45,6671.05,6743.68,33774.99,230044243.3,6875.95,direct,,4/4/2020
1586044800,6910.39,6689.07,6875.95,26776.41,182019861.6,6781.64,direct,,4/5/2020
1586131200,7359.05,6779.91,6781.64,78676.82,560075869.6,7347.22,direct,,4/6/2020
1586217600,7462.51,7084.52,7347.22,70648.16,516422836.7,7201.57,direct,,4/7/2020
1586304000,7425.85,7157.96,7201.57,60952.77,445330043.8,7367.37,direct,,4/8/2020
1586390400,7374.01,7124.88,7367.37,44071.93,321287689.9,7294.55,direct,,4/9/2020
1586476800,7304.8,6757.67,7294.55,63355.47,440132415.2,6876.49,direct,,4/10/2020
1586563200,6956.27,6785.52,6876.49,24917.32,171352839.7,6887.6,direct,,4/11/2020
1586649600,7199.97,6802.16,6887.6,42382.58,297514761.3,6913.76,direct,,4/12/2020
1586736000,6913.76,6612.34,6913.76,63091.4,426458894.2,6859.43,direct,,4/13/2020
